Município;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Poço Branco (RN);20149.613;22079.736;24515.505;30451.393;35506.823;38949.147;41043.501;48332.071;54452.744;61596.123;67780.699;78540.812;85732.582;88694.133;94097.631;104664.445;103553.85;114402.794;128265.192;127017.637
Portalegre (RN);12784.648;13623.946;15727.317;16395.374;18894.971;22871.463;24929.221;28931.49;35368.28;37427.053;42037.715;44539.949;45616.248;51314.443;52278.687;58157.117;62604.818;66626.503;67530.987;75053.845
Porto do Mangue (RN);96474.811;119616.88;218000.113;310061.877;304437.298;231559.724;239278.767;134271.363;197396.628;278524.102;267455.564;244656.611;202955.789;118616.692;80652.234;114289.916;150217.453;148774.927;122035.276;142926.672
Serra Caiada (RN);15331.813;21660.848;22291.461;24200.816;25873.568;32190.46;36738.67;38107.942;39923.895;42970.052;47458.332;53069.52;56297.584;63121.203;69052.073;75353.353;76828.465;85698.407;95144.626;101997.736
Pureza (RN);14487.731;17446.806;19825.922;21781.105;25608.243;29418.516;33053.645;36581.617;39976.68;46880.087;48424.181;58903.046;57429.764;63844.555;76186.757;123520.434;116801.523;122373.746;133554.544;159005.383
Rafael Fernandes (RN);8809.09;9839.049;12805.209;13158.072;13985.487;15737.923;16552.811;19289.2;21015.353;23197.926;25035.514;28309.508;30644.682;34816.002;37385.748;38889.229;43087.506;50071.766;47597.878;49705.107
Rafael Godeiro (RN);5596.685;6231.554;7159.976;8155.42;9545.459;11369.215;13167.97;13654.839;13942.032;15999.696;18164.432;20453.006;21233.761;22490.523;25915.916;28111.824;31539.244;35247.693;37824.603;41726.184
Riacho da Cruz (RN);5283.622;5721.464;6443.705;7327.26;8354.555;10689.205;12209.767;13246.474;13656.502;16459.726;18633.396;21069.112;22756.448;24942.733;26931.142;29505.74;30345.178;33230.82;34696.035;36127.121
Riacho de Santana (RN);8102.837;9235.546;10481.943;12151.046;13373.506;15680.363;17424.025;18514.085;19902.778;22007.705;23743.647;25548.455;28517.118;28427.05;29395.05;30625.056;34998.881;38497.301;40129.893;42113.226
Riachuelo (RN);11474.955;12723.899;15214.809;16666.678;18505.931;23612.502;25721.812;27322.553;30653.882;38907.172;43966.496;47641.515;49957.392;53032.369;57465.11;61444.831;63161.843;68072.461;81141.991;180302.175
Rodolfo Fernandes (RN);10254.563;10947.407;10658.82;11777.523;13016.379;15582.517;16835.051;19144.912;19591.822;22109.243;22517.901;27242.629;28829.955;31715.976;34322.786;38909.968;43216.374;46828.124;50364.34;56255.679
Tibau (RN);14827.649;15697.664;18529.329;23005.285;27040.547;40598.418;50023.324;34594.964;36555.597;45698.152;47069.594;53076.405;57579.064;73713.557;68511.101;75195.725;92334.312;100354.659;102249.035;103327.809
